time(Asia/Seoul),CO2
2025-04-03 17:29:00+09:00,1563.0
2025-04-03 17:30:00+09:00,1708.2
2025-04-03 17:31:00+09:00,1720.6666666666667
2025-04-03 17:32:00+09:00,1124.75
2025-04-03 17:33:00+09:00,1653.6666666666667
2025-04-03 17:34:00+09:00,1685.8333333333333
2025-04-03 17:35:00+09:00,1577.3333333333333
2025-04-03 17:36:00+09:00,1636.0
2025-04-03 17:37:00+09:00,1566.0
2025-04-03 17:38:00+09:00,1541.8333333333333
2025-04-03 17:39:00+09:00,1545.1666666666667
2025-04-03 17:40:00+09:00,1545.0
2025-04-03 17:41:00+09:00,1519.0
2025-04-03 17:42:00+09:00,1492.6666666666667
2025-04-03 17:43:00+09:00,1494.6666666666667
2025-04-03 17:44:00+09:00,1489.0
2025-04-03 17:45:00+09:00,1483.1666666666667
2025-04-03 17:46:00+09:00,1472.3333333333333
2025-04-03 17:47:00+09:00,1472.3333333333333
2025-04-03 17:48:00+09:00,1478.5
2025-04-03 17:49:00+09:00,1479.5
2025-04-03 17:50:00+09:00,1454.8333333333333
2025-04-03 17:51:00+09:00,1483.6666666666667
2025-04-03 17:52:00+09:00,1493.5
2025-04-03 17:53:00+09:00,1490.6666666666667
2025-04-03 17:54:00+09:00,1479.8333333333333
2025-04-03 17:55:00+09:00,1473.5
2025-04-03 17:56:00+09:00,1481.1666666666667
2025-04-03 17:57:00+09:00,1509.1666666666667
2025-04-03 17:58:00+09:00,1510.1666666666667
2025-04-03 17:59:00+09:00,1504.1666666666667
2025-04-03 18:00:00+09:00,1476.5
2025-04-03 18:01:00+09:00,1463.1666666666667
2025-04-03 18:02:00+09:00,1461.0
2025-04-03 18:03:00+09:00,1454.1666666666667
2025-04-03 18:04:00+09:00,1449.3333333333333
2025-04-03 18:05:00+09:00,1449.0
2025-04-03 18:06:00+09:00,1437.1666666666667
2025-04-03 18:07:00+09:00,1417.1666666666667
2025-04-03 18:08:00+09:00,1414.0
2025-04-03 18:09:00+09:00,1423.3333333333333
2025-04-03 18:10:00+09:00,1415.5
2025-04-03 18:11:00+09:00,1413.1666666666667
2025-04-03 18:12:00+09:00,1410.5
2025-04-03 18:13:00+09:00,1417.1666666666667
2025-04-03 18:14:00+09:00,1419.1666666666667
2025-04-03 18:15:00+09:00,1402.3333333333333
2025-04-03 18:16:00+09:00,1395.3333333333333
2025-04-03 18:17:00+09:00,1400.0
2025-04-03 18:18:00+09:00,1405.5
2025-04-03 18:19:00+09:00,1396.6666666666667
2025-04-03 18:20:00+09:00,1389.5
2025-04-03 18:21:00+09:00,1394.3333333333333
2025-04-03 18:22:00+09:00,1401.5
2025-04-03 18:23:00+09:00,1398.8333333333333
2025-04-03 18:24:00+09:00,1382.3333333333333
2025-04-03 18:25:00+09:00,1376.6666666666667
2025-04-03 18:26:00+09:00,1382.6666666666667
2025-04-03 18:27:00+09:00,1386.0
2025-04-03 18:28:00+09:00,1383.8333333333333
2025-04-03 18:29:00+09:00,1377.8333333333333
2025-04-03 18:30:00+09:00,1385.0
2025-04-03 18:31:00+09:00,1387.8333333333333
2025-04-03 18:32:00+09:00,1370.5
2025-04-03 18:33:00+09:00,1364.6666666666667
2025-04-03 18:34:00+09:00,1373.1666666666667
2025-04-03 18:35:00+09:00,1374.5
2025-04-03 18:36:00+09:00,1375.6666666666667
2025-04-03 18:37:00+09:00,1368.3333333333333
2025-04-03 18:38:00+09:00,1372.1666666666667
2025-04-03 18:39:00+09:00,1383.1666666666667
2025-04-03 18:40:00+09:00,1378.8333333333333
2025-04-03 18:41:00+09:00,1360.5
2025-04-03 18:42:00+09:00,1360.5
2025-04-03 18:43:00+09:00,1365.3333333333333
2025-04-03 18:44:00+09:00,1362.6666666666667
2025-04-03 18:45:00+09:00,1358.1666666666667
2025-04-03 18:46:00+09:00,1358.8333333333333
2025-04-03 18:47:00+09:00,1375.5
2025-04-03 18:48:00+09:00,1376.8333333333333
2025-04-03 18:49:00+09:00,1357.0
2025-04-03 18:50:00+09:00,1346.6666666666667
